"",Label,ALA,ARG,ASN,ASP,GLU,GLUC,GLY,LYS,MET,PHE,SER,THR,TRP,TYR,VAL,Pyr,aKG,Citrate,Fumarate,Malate,Succinic acid,Inositol,Citrulline,Butyric acid,5-Oxo-Pro
B1T5,120,521374328,811941843,279079517,81423126,207574914,289167949,10031010,82272532,340696590,860279188,7483615,95170371,257110719,158453941,203625685,28445877,1586238,77900669,5943387,155124090,7209292,34026233,3819258,12263705,2144655086
B2T5,120,275826314,632383978,178987795,121872859,261603331,304424515,6837944,48544362,242380666,484943110,7153595,62781073,158129726,109085369,144110121,65079226,4385871,38550740,2261175,56331094,5807430,19772816,1650036,10950933,1473832185
B3T5,120,454035797,927653906,265708623,168222674,353196321,354440458,9632570,80351559,324361012,773578446,6658682,86818041,257017455,151435239,172634375,92870712,6698295,83787696,4149729,112853140,10506338,29390970,2724590,13418882,2144187254
B1T1,24,261302136,1074195676,215714338,215924490,204720794,568452836,4189365,89555416,482821149,781092540,36179827,101777186,214119128,187213741,326832620,75774361,4493639,38169885,872962,17029821,8144615,23217581,1551157,10964448,1116672888
B2T1,24,492082087,1714074398,366917280,427555496,356956987,965455987,5882693,181009131,989355836,1538122863,71084779,226617150,392795297,402041283,544108421,208442076,5723626,71645818,778819,24826278,12385847,37726059,2404394,12067352,1569944636
B3T1,24,330942203,1290652339,266813903,282719485,272630741,691573451,4714740,130790621,669380491,986107441,47724271,132043936,268164567,245326278,310318949,107946172,4542575,49719654,767007,21424467,9711734,27719368,1712770,12034799,1355831588
