"",f.value,p.value,-log10(p),FDR,Fisher's LSD
SER,14.297,0.00010619,3.9739,0.0025485,24 - 120; 48 - 120; 72 - 120; 24 - 144; 48 - 144; 24 - 72; 24 - 96; 48 - 96
GLY,11.161,0.00035205,3.4534,0.0042246,120 - 24; 120 - 48; 120 - 72; 144 - 24; 144 - 48; 144 - 72; 72 - 24; 96 - 24; 96 - 48
ARG,9.6313,0.0006976,3.1564,0.0055808,24 - 120; 48 - 120; 72 - 120; 24 - 144; 48 - 144; 24 - 72; 24 - 96; 48 - 96
MET,8.3904,0.0012932,2.8883,0.0077591,24 - 120; 48 - 120; 72 - 120; 24 - 144; 48 - 144; 24 - 72; 24 - 96; 48 - 96
GLUC,6.1738,0.0046779,2.3299,0.022454,24 - 120; 48 - 120; 72 - 120; 24 - 144; 24 - 48; 24 - 72; 24 - 96
TYR,5.0532,0.010082,1.9965,0.040327,24 - 120; 48 - 120; 24 - 144; 24 - 72; 24 - 96; 48 - 96
